Name,Description,IP,FQDN,MAC,Non-Computing,STIGs,Labels,Metadata
Asset 0,Asset0 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label0
Label0","{""key:0"":""value:0""}"
Asset 1,Asset1 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label1
Label1","{""key:1"":""value:1""}"
Asset 2,Asset2 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label2
Label2","{""key:2"":""value:2""}"
Asset 3,Asset3 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label3
Label3","{""key:3"":""value:3""}"
Asset 4,Asset4 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label4
Label4","{""key:4"":""value:4""}"
Asset 5,Asset5 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label5
Label5","{""key:5"":""value:5""}"
Asset 6,Asset6 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label6
Label6","{""key:6"":""value:6""}"
Asset 7,Asset7 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label7
Label7","{""key:7"":""value:7""}"
Asset 8,Asset8 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label8
Label8","{""key:8"":""value:8""}"
Asset 9,Asset9 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label9
Label9","{""key:9"":""value:9""}"
Asset 10,Asset10 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label10
Label10","{""key:0"":""value:0""}"
Asset 11,Asset11 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label11
Label11","{""key:1"":""value:1""}"
Asset 12,Asset12 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label12
Label12","{""key:2"":""value:2""}"
Asset 13,Asset13 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label13
Label13","{""key:3"":""value:3""}"
Asset 14,Asset14 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label14
Label14","{""key:4"":""value:4""}"
Asset 15,Asset15 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label15
Label15","{""key:5"":""value:5""}"
Asset 16,Asset16 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label16
Label16","{""key:6"":""value:6""}"
Asset 17,Asset17 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label17
Label17","{""key:7"":""value:7""}"
Asset 18,Asset18 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label18
Label18","{""key:8"":""value:8""}"
Asset 19,Asset19 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label19
Label19","{""key:9"":""value:9""}"
Asset 20,Asset20 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label20
Label20","{""key:0"":""value:0""}"
Asset 21,Asset21 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label21
Label21","{""key:1"":""value:1""}"
Asset 22,Asset22 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label22
Label22","{""key:2"":""value:2""}"
Asset 23,Asset23 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label23
Label23","{""key:3"":""value:3""}"
Asset 24,Asset24 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label24
Label24","{""key:4"":""value:4""}"
Asset 25,Asset25 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label25
Label25","{""key:5"":""value:5""}"
Asset 26,Asset26 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label26
Label26","{""key:6"":""value:6""}"
Asset 27,Asset27 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label27
Label27","{""key:7"":""value:7""}"
